# booking_id|d_ID|p_ID|vehicle_type|distance|fare|timestamp|status
1|101|201|0|8.50|85.00|1000|1
2|103|204|0|12.00|120.00|1001|1
3|105|210|0|15.00|150.00|1002|1
4|107|207|0|9.00|90.00|1003|1
5|109|216|0|11.00|110.00|1004|1
6|102|202|1|14.00|70.00|1005|1
7|104|205|1|8.00|40.00|1006|1
8|106|209|1|10.00|50.00|1007|1
9|108|213|1|6.00|30.00|1008|1
10|110|222|1|12.00|60.00|1009|1
11|111|212|0|17.00|170.00|1010|1
12|113|208|0|13.50|135.00|1011|1
13|115|204|0|20.00|200.00|1012|1
14|117|201|0|9.70|97.00|1013|1
15|119|214|0|11.50|115.00|1014|1
16|112|220|1|15.20|76.00|1015|1
17|114|203|1|9.80|49.00|1016|1
18|116|218|1|7.60|38.00|1017|1
19|118|224|1|11.00|55.00|1018|1
20|120|221|1|8.40|42.00|1019|1
21|121|216|0|16.30|163.00|1020|1
22|123|207|0|22.00|220.00|1021|1
23|125|201|0|12.40|124.00|1022|1
24|103|210|0|18.00|180.00|1023|1
25|105|204|0|19.00|190.00|1024|1
26|122|225|1|5.80|29.00|1025|1
27|124|211|1|12.20|61.00|1026|1
28|101|212|0|11.00|110.00|1027|1
29|107|202|0|16.00|160.00|1028|1
30|109|220|0|18.50|185.00|1029|1
31|111|214|0|17.50|175.00|1030|1
32|113|209|0|11.50|115.00|1031|1
33|115|216|0|23.00|230.00|1032|1
34|119|207|0|19.00|190.00|1033|1
35|102|205|1|16.10|80.50|1034|1
36|106|222|1|7.40|37.00|1035|1
37|108|219|1|8.00|40.00|1036|1
38|112|217|1|8.80|44.00|1037|1
39|116|223|1|8.40|42.00|1038|1
40|118|206|1|9.00|45.00|1039|1
41|121|210|0|14.50|145.00|1040|1
42|123|204|0|29.00|290.00|1041|1
43|125|224|0|11.60|116.00|1042|1
44|103|208|0|19.00|190.00|1043|1
45|105|216|0|27.00|270.00|1044|1
46|120|215|1|7.60|38.00|1045|1
47|122|203|1|5.20|26.00|1046|1
48|124|213|1|9.80|49.00|1047|1
49|101|201|0|16.00|160.00|1048|1
50|107|202|0|16.50|165.00|1049|1
51|111|2001|0|67.00|670.00|1050|1
52|104|2001|1|0.00|0.00|1051|0
53|110|218|1|34556.00|172780.00|1052|1
54|117|212|0|23.00|230.00|1053|1
55|105|218|0|0.00|0.00|1054|0
56|1234|12345|1|1234.00|6170.00|1055|1
57|101|207|0|0.00|0.00|1056|0
58|1000|212|1|0.00|0.00|1057|0
59|103|225|0|0.00|0.00|1058|2
